import time: self [us] | cumulative | imported package
import time:       100 |        100 |   _io
import time:        20 |         20 |   marshal
import time:       146 |        146 |   posix
import time:       466 |        729 | _frozen_importlib_external
import time:       767 |        767 |   time
import time:       112 |        878 | zipimport
import time:        75 |         75 |     _codecs
import time:       422 |        497 |   codecs
import time:       450 |        450 |   encodings.aliases
import time:       554 |       1500 | encodings
import time:       230 |        230 | encodings.utf_8
import time:        43 |         43 | _signal
import time:        32 |         32 |     _abc
import time:       520 |        551 |   abc
import time:       230 |        781 | io
import time:        23 |         23 |       _stat
import time:       254 |        276 |     stat
import time:       559 |        559 |     _collections_abc
import time:       220 |        220 |       genericpath
import time:       293 |        513 |     posixpath
import time:       559 |       1905 |   os
import time:       107 |        107 |   _sitebuiltins
import time:       267 |        267 |         types
import time:       392 |        659 |       enum
import time:        28 |         28 |         _sre
import time:       208 |        208 |           sre_constants
import time:       231 |        438 |         sre_parse
import time:       295 |        760 |       sre_compile
import time:        43 |         43 |           itertools
import time:        94 |         94 |           keyword
import time:        28 |         28 |             _operator
import time:       310 |        338 |           operator
import time:       212 |        212 |           reprlib
import time:        25 |         25 |           _collections
import time:       675 |       1384 |         collections
import time:        22 |         22 |         _functools
import time:       339 |       1744 |       functools
import time:        27 |         27 |       _locale
import time:       224 |        224 |       copyreg
import time:       478 |       3890 |     re
import time:       471 |       4360 |   sitecustomize
import time:      1287 |       7659 | site
import time:       274 |        274 |   warnings
import time:       807 |        807 |           _ctypes
import time:       357 |        357 |             _struct
import time:       274 |        630 |           struct
import time:       178 |        178 |           ctypes._endian
import time:       632 |       2247 |         ctypes
import time:       267 |        267 |           contextlib
import time:       113 |        113 |           fnmatch
import time:       301 |        680 |         glob
import time:       116 |        116 |         importlib
import time:       440 |        440 |             _ast
import time:       748 |       1188 |           ast
import time:       238 |        238 |               _opcode
import time:       271 |        508 |             opcode
import time:       370 |        878 |           dis
import time:       118 |        118 |           collections.abc
import time:       122 |        122 |           importlib.machinery
import time:       254 |        254 |               token
import time:       550 |        803 |             tokenize
import time:       246 |       1049 |           linecache
import time:       833 |       4185 |         inspect
import time:       365 |        365 |         math
import time:        26 |         26 |             errno
import time:       330 |        330 |             signal
import time:       134 |        134 |               _weakrefset
import time:       320 |        453 |             threading
import time:       462 |        462 |             fcntl
import time:        40 |         40 |             msvcrt
import time:       508 |        508 |             _posixsubprocess
import time:       484 |        484 |             select
import time:       269 |        269 |             selectors
import time:       265 |       2833 |           subprocess
import time:      1016 |       3849 |         platform
import time:       597 |        597 |         textwrap
import time:      1312 |       1312 |         typing
import time:       697 |        697 |           _socket
import time:      1167 |       1863 |         typing_extensions
import time:       256 |        256 |             traceback
import time:       365 |        365 |             weakref
import time:        16 |         16 |               _string
import time:       361 |        377 |             string
import time:        16 |         16 |             atexit
import time:      1027 |       2039 |           logging
import time:       491 |       2529 |         torch._utils
import time:       326 |        326 |               zlib
import time:       133 |        133 |                 _compression
import time:       296 |        296 |                 _bz2
import time:       241 |        669 |               bz2
import time:       518 |        518 |                 _lzma
import time:       256 |        774 |               lzma
import time:       344 |       2111 |             shutil
import time:       299 |        299 |                 _bisect
import time:       217 |        515 |               bisect
import time:       521 |        521 |               _random
import time:       318 |        318 |               _sha512
import time:       446 |       1799 |             random
import time:       214 |       4122 |           tempfile
import time:       233 |        233 |             torch._strobelight
import time:       564 |        564 |                   _json
import time:       324 |        888 |                 json.scanner
import time:       330 |       1217 |               json.decoder
import time:       364 |        364 |               json.encoder
import time:       242 |       1822 |             json
import time:       743 |        743 |               _datetime
import time:       537 |       1279 |             datetime
import time:       434 |        434 |               array
import time:       734 |       1168 |             socket
import time:        57 |         57 |                 gc
import time:       210 |        267 |               timeit
import time:       402 |        669 |             torch._strobelight.cli_function_profiler
import time:       322 |       5491 |           torch._strobelight.compile_time_profiler
import time:       320 |       9932 |         torch._utils_internal
import time:       170 |        170 |               torch._vendor
import time:       238 |        408 |             torch._vendor.packaging
import time:       209 |        209 |             torch._vendor.packaging._structures
import time:      1195 |       1811 |           torch._vendor.packaging.version
import time:       235 |        235 |           torch.version
import time:       252 |       2296 |         torch.torch_version
import time:       244 |        244 |                 numpy._utils._convertions
import time:       296 |        539 |               numpy._utils
import time:       452 |        991 |             numpy._globals
import time:       244 |        244 |             numpy._expired_attrs_2_0
import time:       205 |        205 |             numpy.version
import time:        29 |         29 |               numpy._distributor_init_local
import time:       262 |        290 |             numpy._distributor_init
import time:       237 |        237 |                       numpy._utils._inspect
import time:       263 |        263 |                         numpy.exceptions
import time:       304 |        304 |                         numpy._core._exceptions
import time:       626 |        626 |                             _contextvars
import time:       228 |        853 |                           contextvars
import time:       217 |       1069 |                         numpy._core.printoptions
import time:       234 |        234 |                         numpy.dtypes
import time:      2607 |       4476 |                       numpy._core._multiarray_umath
import time:       555 |       5266 |                     numpy._core.overrides
import time:       476 |       5742 |                   numpy._core.multiarray
import time:       257 |        257 |                   numpy._core.umath
import time:       348 |        348 |                     numbers
import time:       186 |        186 |                     numpy._core._string_helpers
import time:       289 |        289 |                     numpy._core._type_aliases
import time:       240 |        240 |                     numpy._core._dtype
import time:       344 |       1405 |                   numpy._core.numerictypes
import time:       354 |        354 |                             _compat_pickle
import time:       840 |        840 |                             _pickle
import time:        55 |         55 |                                 org
import time:         9 |         63 |                               org.python
import time:         8 |         71 |                             org.python.core
import time:       685 |       1948 |                           pickle
import time:       305 |        305 |                           numpy._core._ufunc_config
import time:       296 |       2548 |                         numpy._core._methods
import time:       612 |       3160 |                       numpy._core.fromnumeric
import time:       428 |       3587 |                     numpy._core.shape_base
import time:      1260 |       1260 |                     numpy._core.arrayprint
import time:       312 |        312 |                     numpy._core._asarray
import time:       602 |       5759 |                   numpy._core.numeric
import time:       367 |        367 |                   numpy._core.records
import time:       254 |        254 |                   numpy._core.memmap
import time:       293 |        293 |                   numpy._core.function_base
import time:       232 |        232 |                   numpy._core._machar
import time:       300 |        300 |                   numpy._core.getlimits
import time:       422 |        422 |                   numpy._core.einsumfunc
import time:       943 |        943 |                   numpy._core._add_newdocs
import time:       418 |        418 |                   numpy._core._add_newdocs_scalars
import time:       243 |        243 |                   numpy._core._dtype_ctypes
import time:       537 |        537 |                   numpy._core._internal
import time:       263 |        263 |                   numpy._pytesttester
import time:       502 |      17930 |                 numpy._core
import time:        13 |      17942 |               numpy._core._multiarray_umath
import time:       650 |      18592 |             numpy.__config__
import time:       213 |        213 |                 numpy.lib._array_utils_impl
import time:       267 |        480 |               numpy.lib.array_utils
import time:       200 |        200 |               numpy.lib.introspect
import time:       231 |        231 |               numpy.lib.mixins
import time:       277 |        277 |                     numpy.lib._utils_impl
import time:       312 |        589 |                   numpy.lib.format
import time:       285 |        285 |                   numpy.lib._datasource
import time:       302 |        302 |                   numpy.lib._iotools
import time:       484 |       1659 |                 numpy.lib._npyio_impl
import time:       214 |       1873 |               numpy.lib.npyio
import time:       180 |        180 |                     numpy.lib._ufunclike_impl
import time:       312 |        491 |                   numpy.lib._type_check_impl
import time:       333 |        824 |                 numpy.lib._scimath_impl
import time:       227 |       1051 |               numpy.lib.scimath
import time:       260 |        260 |                 numpy.lib._stride_tricks_impl
import time:       184 |        444 |               numpy.lib.stride_tricks
import time:       160 |        160 |                       numpy.linalg.linalg
import time:       307 |        307 |                         numpy.lib._twodim_base_impl
import time:       972 |        972 |                         numpy.linalg._umath_linalg
import time:       253 |        253 |                           __future__
import time:       320 |        320 |                           numpy._typing._nested_sequence
import time:       226 |        226 |                           numpy._typing._nbit
import time:       805 |        805 |                           numpy._typing._char_codes
import time:       236 |        236 |                           numpy._typing._scalars
import time:       215 |        215 |                           numpy._typing._shape
import time:      1810 |       1810 |                           numpy._typing._dtype_like
import time:       973 |        973 |                           numpy._typing._array_like
import time:       375 |       5209 |                         numpy._typing
import time:       768 |       7255 |                       numpy.linalg._linalg
import time:       215 |       7628 |                     numpy.linalg
import time:       309 |       7936 |                   numpy.matrixlib.defmatrix
import time:       199 |       8135 |                 numpy.matrixlib
import time:       288 |        288 |                   numpy.lib._histograms_impl
import time:      1048 |       1335 |                 numpy.lib._function_base_impl
import time:       353 |       9821 |               numpy.lib._index_tricks_impl
import time:       448 |        448 |               numpy.lib._nanfunctions_impl
import time:       292 |        292 |               numpy.lib._shape_base_impl
import time:       366 |        366 |               numpy.lib._arraysetops_impl
import time:       457 |        457 |               numpy.lib._polynomial_impl
import time:       227 |        227 |               numpy.lib._arrayterator_impl
import time:       218 |        218 |               numpy.lib._arraypad_impl
