tile_id,timestamp,ice_px,water_px,cloud_px,land_px,nodata_px,unknown_px,ice_pct,water_pct,cloud_pct,land_pct,nodata_pct,mean_ndsi_ice,mean_ndwi_water,eo_cloud_cover,sun_elev,sun_azim,edge_gap
S2B_22WDD_20210420_0_L1C,20210420T155255,151652,5,0,15008,0,39,0.9097,0.0,0.0,0.09,0.0,0.9129,0.0893,18.1337,,,0
S2C_22WDD_20250421_0_L1C,20250421T154325,135069,14892,1561,15008,0,174,0.8102,0.0893,0.0094,0.09,0.0,0.5574,0.1408,0,,,0
S2B_22WDD_20250420_0_L1C,20250420T152309,140457,9220,0,15008,6989,-4970,0.8426,0.0553,0.0,0.09,0.0419,0.5619,0.1564,2.77432406057835,,,0
S2B_22WDD_20250419_0_L1C,20250419T155303,134245,16264,50,15008,0,1137,0.8053,0.0976,0.0003,0.09,0.0,0.5122,0.1027,41.7074042338113,,,0
S2C_22WDD_20250418_0_L1C,20250418T153327,136576,14634,0,15008,0,486,0.8193,0.0878,0.0,0.09,0.0,0.5325,0.1054,50.4026098121771,,,0
S2A_22WDD_20250417_1_L1C,20250417T152319,140336,8436,0,15008,7876,-4952,0.8418,0.0506,0.0,0.09,0.0472,0.5491,0.1351,32.6775486326965,,,0
S2B_22WDD_20250416_0_L1C,20250416T154306,25381,0,82,15008,0,126233,0.1523,0.0,0.0005,0.09,0.0,0.4342,,98.741168741975,,,0
S2C_22WDD_20250415_0_L1C,20250415T152328,140098,10935,67,15008,5249,-4653,0.8404,0.0656,0.0004,0.09,0.0315,0.5281,0.1331,27.501896594889,,,0
S2C_22WDD_20250411_0_L1C,20250411T154326,0,32,162581,15008,0,-10917,0.0,0.0002,0.9753,0.09,0.0,,0.0523,92.0967183254203,,,0
S2A_22WDD_20250410_0_L1C,20250410T153319,106367,41882,1437,15008,0,2010,0.6381,0.2512,0.0086,0.09,0.0,0.5471,0.1187,43.9416524829048,,,0
S2B_22WDD_20250409_0_L1C,20250409T155303,150696,565,327,15008,0,108,0.904,0.0034,0.002,0.09,0.0,0.6657,0.1614,30.0378828032159,,,0
S2C_22WDD_20250408_0_L1C,20250408T153329,0,0,166156,15008,0,-14460,0.0,0.0,0.9967,0.09,0.0,,,97.1172325241124,,,0
S2A_22WDD_20250407_1_L1C,20250407T152320,151597,20,0,15008,5093,-5014,0.9094,0.0001,0.0,0.09,0.0306,0.6078,0.0901,73.9762645141993,,,0
