definition,threshold,persistence,min_obs,censored,early,late,shift,s2017,s2018,s2019,s2020,s2021,s2022,s2023,s2024,s2025,s2026
published (smoothed),0.15,7,,0,150.25,140.0,-10.25,157.0,155,142,147,120,159,134,160,134,133
observed,0.15,1,1.0,0,146.0,106.16666666666667,-39.83333333333333,163.0,155,121,145,119,159,121,115,60,63
observed,0.15,7,1.0,0,151.5,132.16666666666666,-19.333333333333343,163.0,155,143,145,119,159,121,115,147,132
observed,0.15,7,2.0,1,147.66666666666666,132.16666666666666,-15.5,,155,143,145,119,159,121,115,147,132
observed,0.15,7,3.0,1,149.66666666666666,145.0,-4.666666666666657,,155,143,151,119,165,136,169,147,134
observed,0.15,14,1.0,0,151.5,146.16666666666666,-5.333333333333343,163.0,155,143,145,119,159,160,160,147,132
observed,0.15,14,2.0,1,147.66666666666666,146.16666666666666,-1.5,,155,143,145,119,159,160,160,147,132
observed,0.15,14,3.0,1,147.66666666666666,146.16666666666666,-1.5,,155,143,145,119,159,160,160,147,132
observed,0.25,1,1.0,0,135.0,106.0,-29.0,153.0,151,121,115,119,159,120,115,60,63
observed,0.25,7,1.0,0,148.0,129.0,-19.0,153.0,151,143,145,119,159,120,115,129,132
observed,0.25,7,2.0,1,146.33333333333334,129.0,-17.333333333333343,,151,143,145,119,159,120,115,129,132
observed,0.25,7,3.0,1,149.66666666666666,139.33333333333334,-10.333333333333314,,155,143,151,119,165,120,169,129,134
observed,0.25,14,1.0,0,148.0,136.5,-11.5,153.0,151,143,145,119,159,120,160,129,132
observed,0.25,14,2.0,0,148.0,136.5,-11.5,153.0,151,143,145,119,159,120,160,129,132
observed,0.25,14,3.0,1,146.33333333333334,136.5,-9.833333333333343,,151,143,145,119,159,120,160,129,132
observed,0.5,1,1.0,0,135.0,85.5,-49.5,153.0,151,121,115,57,155,66,115,60,60
observed,0.5,7,1.0,0,141.5,95.16666666666667,-46.33333333333333,153.0,151,121,141,115,155,66,115,60,60
observed,0.5,7,2.0,1,137.66666666666666,95.16666666666667,-42.499999999999986,,151,121,141,115,155,66,115,60,60
observed,0.5,7,3.0,1,139.0,101.66666666666667,-37.33333333333333,,155,121,141,115,155,66,154,60,60
observed,0.5,14,1.0,0,147.0,121.66666666666667,-25.33333333333333,153.0,151,143,141,115,155,120,154,60,126
observed,0.5,14,2.0,0,147.0,121.66666666666667,-25.33333333333333,153.0,151,143,141,115,155,120,154,60,126
observed,0.5,14,3.0,1,145.0,121.66666666666667,-23.33333333333333,,151,143,141,115,155,120,154,60,126
observed,0.75,1,1.0,0,131.5,78.5,-53.0,140.0,151,120,115,69,64,54,115,100,69
observed,0.75,7,1.0,0,136.0,114.83333333333333,-21.16666666666667,140.0,151,120,133,115,151,54,115,129,125
observed,0.75,7,2.0,0,136.0,114.83333333333333,-21.16666666666667,140.0,151,120,133,115,151,54,115,129,125
observed,0.75,7,3.0,1,136.66666666666666,122.16666666666667,-14.499999999999986,,155,120,135,115,151,62,151,129,125
observed,0.75,14,1.0,0,139.25,122.16666666666667,-17.08333333333333,140.0,151,133,133,115,151,62,151,129,125
observed,0.75,14,2.0,0,139.25,122.16666666666667,-17.08333333333333,140.0,151,133,133,115,151,62,151,129,125
observed,0.75,14,3.0,0,139.25,122.16666666666667,-17.08333333333333,140.0,151,133,133,115,151,62,151,129,125
walsh2022,,14,2.0,0,138.0,137.33333333333334,-0.6666666666666572,140.0,146,133,133,119,151,121,154,147,132
