test,doy_from,doy_to,scenes,corr_ice_share,ice_least_clear_third,ice_clearest_third,period,median_share,mean_ice,sampling,decline
within_doy_bin,53.0,85.0,139,-0.003403272199754248,0.8268426205854672,0.8987043869655525,,,,,
within_doy_bin,85.0,117.0,158,-0.008778927223499147,0.9339983510772726,0.9919158221450496,,,,,
within_doy_bin,117.0,149.0,136,-0.25731177119145315,0.7263436056009577,0.5332291803725352,,,,,
within_doy_bin,149.0,181.0,110,-0.10425523783170948,0.08091494698151663,0.025914902317577912,,,,,
period_visibility,,,200,,,,early,0.938486594291146,0.7749144328778687,,
period_visibility,,,343,,,,late,0.9075381954453733,0.5793145008825098,,
resampled,,,543,,,,,,,all,27.03357218464938
resampled,,,495,,,,,,,share>=0.5,29.631392095886678
resampled,,,434,,,,,,,share>=0.7,31.090111966400958
resampled,,,314,,,,,,,share>=0.9,27.279838219942874
resampled,,,536,,,,,,,reweighted_to_early,26.908989904689285
