member,day,scene,label,cells,band,reflectance,spread
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,coastal,0.14949999749660492,0.004447764717042446
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,blue,0.11401250958442688,0.0067550791427493095
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,green,0.07445000112056732,0.006477090064436197
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,red,0.043162498623132706,0.0024370248429477215
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,rededge1,0.036924999207258224,0.0018903138116002083
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,rededge2,0.03220000118017197,0.001742051332257688
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,rededge3,0.02932499721646309,0.0015567231457680464
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,nir,0.024112500250339508,0.0012880126014351845
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,nir08,0.02290000207722187,0.0014455373166128993
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,nir09,0.012450001202523708,0.0008154286188073456
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,cirrus,0.003499999875202775,0.00014826077676843852
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,swir16,0.005325000267475843,0.0003706500574480742
water,2019-07-07,S2B_22WDD_20190707_0_L1C,"open water, July",157345,swir22,0.002474999986588955,0.00033358443761244416
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,coastal,0.8335999846458435,0.010304189287126064
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,blue,0.8146312832832336,0.010304100811481476
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,green,0.7350124716758728,0.00905313715338707
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,red,0.7946937680244446,0.009034579619765282
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,rededge1,0.7996749877929688,0.008599004708230495
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,rededge2,0.8032500743865967,0.008524862118065357
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,rededge3,0.8058249354362488,0.007561365608125925
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,nir,0.7570374608039856,0.006523550488054752
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,nir08,0.7906250357627869,0.007116600405424833
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,nir09,0.2841000258922577,0.002223915420472622
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,cirrus,0.0023000002838671207,0.00014825939433649182
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,swir16,0.05065000057220459,0.002075647469609976
ice,2018-04-20,S2B_22WDD_20180420_0_L1C,"fast ice, April 2018",157730,swir22,0.04947499930858612,0.0019644340500235558
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,coastal,0.5320000052452087,0.11416032165288925
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,blue,0.5070937275886536,0.13232199847698212
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,green,0.43931251764297485,0.12773530185222626
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,red,0.46786877512931824,0.15375487506389618
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,rededge1,0.47632503509521484,0.16275246441364288
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,rededge2,0.46892499923706055,0.16968362033367157
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,rededge3,0.4569750428199768,0.18028424680233002
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,nir,0.4401562809944153,0.18488013744354248
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,nir08,0.4408250153064728,0.1919596791267395
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,nir09,0.2588500380516052,0.1185339167714119
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,cirrus,0.007199995219707489,0.0025204129051417112
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,swir16,0.03072500042617321,0.00637518847361207
ice_2023,2023-03-31,S2B_22WDD_20230331_0_L1C,"fast ice, 12 days before",156753,swir22,0.025400003418326378,0.008599084801971912
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,coastal,0.27070000767707825,0.03914068266749382
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,blue,0.22580626606941223,0.045066412538290024
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,green,0.1743437647819519,0.04375060647726059
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,red,0.15288126468658447,0.04723937064409256
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,rededge1,0.14467501640319824,0.046442463994026184
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,rededge2,0.1298999786376953,0.0430324412882328
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,rededge3,0.11525002121925354,0.03928886726498604
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,nir,0.09929999709129333,0.03548973426222801
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,nir08,0.0957999974489212,0.03543414920568466
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,nir09,0.03659999743103981,0.014381220564246178
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,cirrus,0.0015499964356422424,0.0005189049406908453
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,swir16,0.006799997761845589,0.003484110813587904
wet,2023-04-12,S2A_22WDD_20230412_0_L1C,"contested cells, April 2023",56520,swir22,0.005599997937679291,0.003113460261374712
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,coastal,0.41849997639656067,0.11460499465465546
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,blue,0.4014187455177307,0.13936902582645416
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,green,0.3472593426704407,0.13646864891052246
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,red,0.34021875262260437,0.14253346621990204
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,rededge1,0.33041250705718994,0.1379559338092804
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,rededge2,0.30546247959136963,0.12678076326847076
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,rededge3,0.2812250256538391,0.11831149458885193
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,nir,0.2537999749183655,0.11145444214344025
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,nir08,0.2530250549316406,0.11419738084077835
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,nir09,0.10489999502897263,0.05448554456233978
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,cirrus,0.003349997103214264,0.0028169378638267517
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,swir16,0.01899999938905239,0.010489395819604397
wet_ice,2023-04-12,S2A_22WDD_20230412_0_L1C,ice cells of the same day,61404,swir22,0.016749998554587364,0.010155810974538326
