day,season,doy,scene,gate,ice,classified,share
2017-02-26,2017,57,S2A_22WDD_20170226_0_L1C,0.09,0.9998464906426036,149828,0.8987666762645168
2017-02-26,2017,57,S2A_22WDD_20170226_0_L1C,0.13,0.9707865018554609,149828,0.8987666762645168
2017-02-26,2017,57,S2A_22WDD_20170226_0_L1C,0.17,0.9527388756124587,149806,0.898634705825895
2017-02-26,2017,57,S2A_22WDD_20170226_0_L1C,0.21,0.9515257565334705,149729,0.8981728092907189
2017-02-26,2017,57,S2A_22WDD_20170226_0_L1C,0.25,0.9514872000534723,149610,0.8974589691909013
2017-03-11,2017,70,S2A_22WDD_20170311_0_L1C,0.09,0.9818101181613711,157835,0.9467979172665323
2017-03-11,2017,70,S2A_22WDD_20170311_0_L1C,0.13,0.980847087147971,157835,0.9467979172665323
2017-03-11,2017,70,S2A_22WDD_20170311_0_L1C,0.17,0.9802323960616851,157834,0.9467919186102313
2017-03-11,2017,70,S2A_22WDD_20170311_0_L1C,0.21,0.979157953436498,157806,0.9466239562338036
2017-03-11,2017,70,S2A_22WDD_20170311_0_L1C,0.25,0.9786758164951074,157380,0.9440685286495825
2017-03-31,2017,90,S2A_22WDD_20170331_0_L1C,0.09,1.0,129955,0.7795553795949707
2017-03-31,2017,90,S2A_22WDD_20170331_0_L1C,0.13,1.0,129955,0.7795553795949707
2017-03-31,2017,90,S2A_22WDD_20170331_0_L1C,0.17,1.0,129955,0.7795553795949707
2017-03-31,2017,90,S2A_22WDD_20170331_0_L1C,0.21,1.0,129955,0.7795553795949707
2017-03-31,2017,90,S2A_22WDD_20170331_0_L1C,0.25,1.0,129952,0.7795373836260677
2017-04-17,2017,107,S2A_21WXU_20170417_0_L1C,0.09,1.0,154517,0.8270238445687371
2017-04-17,2017,107,S2A_21WXU_20170417_0_L1C,0.13,1.0,154515,0.8270131399363074
2017-04-17,2017,107,S2A_21WXU_20170417_0_L1C,0.17,1.0,154513,0.8270024353038777
2017-04-17,2017,107,S2A_21WXU_20170417_0_L1C,0.21,1.0,154502,0.8269435598255145
2017-04-17,2017,107,S2A_21WXU_20170417_0_L1C,0.25,1.0,154461,0.826724114860706
2017-05-10,2017,130,S2A_22WDD_20170510_0_L1C,0.09,0.9935374731520025,157833,0.9467859199539304
2017-05-10,2017,130,S2A_22WDD_20170510_0_L1C,0.13,0.9905087752645251,157830,0.9467679239850274
2017-05-10,2017,130,S2A_22WDD_20170510_0_L1C,0.17,0.9837471010911303,157818,0.9466959401094155
