date,season,doy,group,s2_ice,s2_share,landsat_id,landsat_cloud,landsat_sun,landsat_ice,landsat_share
2017-03-17,2017,76,"winter, ordinary",0.985674913675674,0.9467979172665323,LC08_L2SP_013010_20170317_02_T1,0.07,17.91299994,0.9982638138462647,0.9888125487514291
2017-04-20,2017,110,"april anchor, control",1.0,0.9467979172665323,LC08_L2SP_011010_20170420_02_T1,0.02,30.7861985,0.9999536969429297,0.999992876503503
2017-05-13,2017,133,"season, ordinary",0.9984283505285305,0.946450421055157,LC08_L2SP_012010_20170513_02_T1,8.2,37.60333357,0.9948304627575391,0.9969653904922692
2017-07-07,2017,188,"july anchor, control",0.002275738347142015,0.9467710959068539,LC08_L2SP_013010_20170707_02_T1,7.85,41.54638111,0.0024602370424957015,0.9279921356598673
2018-03-22,2018,81,"winter, ordinary",1.0,0.6545006677548598,LC08_L2SP_011010_20180322_02_T1,0.03,19.79764793,1.0,1.0
2018-04-05,2018,95,"april anchor, control",0.9966582942011576,0.823955321471848,LC08_L2SP_013010_20180405_02_T1,16.39,25.25886483,0.996563512631943,0.9991380569238605
2018-04-23,2018,113,"season, ordinary",0.9994424557290842,0.9467979172665323,LC08_L2SP_011010_20180423_02_T1,0.0,31.71592572,0.9996687338151534,0.9999287650350298
2018-04-30,2018,120,"season, ordinary",0.9997338976392919,0.9467975981236091,LC08_L2SP_012010_20180430_02_T1,0.36,33.95144875,0.9998860065973681,0.999846844825314
2018-05-16,2018,136,"season, ordinary",0.9969271123726494,0.9467969598262758,LC08_L2SP_012010_20180516_02_T1,0.23,38.25174334,0.9966851065043201,0.9992555946160614
2019-03-09,2019,68,"winter, ordinary",0.9760065891595654,0.9467979172665323,LC08_L2SP_011010_20190309_02_T1,0.64,14.55436246,0.9982509536120898,0.9795057005780717
2019-03-16,2019,75,"winter, ordinary",0.9952365039739482,0.9144502297824406,LC08_L2SP_012010_20190316_02_T1,2.96,17.32422825,0.9981710497174414,0.9970829281844701
2019-05-03,2019,123,"season, ordinary",0.38678168933737306,0.9467758874186095,LC08_L2SP_012010_20190503_02_T1,0.59,34.78227512,0.24359146520718178,0.9813720566602911
2019-05-10,2019,130,"season, ordinary",0.9458609849807894,0.9457457286001798,LC08_L2SP_013010_20190510_02_T1,18.12,36.72859562,0.9399984965797189,0.9476387389986501
2019-05-12,2019,132,"season, ordinary",0.9624988113189605,0.9068465305368197,LC08_L2SP_011010_20190512_02_T1,0.03,37.23838941,0.9316558595005388,0.9420289855072463
2019-05-28,2019,148,"season, ordinary",0.0014391134553938226,0.946766303532307,LC08_L2SP_011010_20190528_02_T1,0.24,40.54843763,0.001429296285973601,0.9967837413315952
