id,datetime,platform,sun_elevation,cloud,day,doy,hour,month
LC08_L1TP_011010_20170623_20200903_02_T1,2017-06-23 15:12:19.348233+00:00,LANDSAT_8,42.46368987,29.45,2017-06-23,174,15,6
LC08_L1TP_013010_20170621_20201015_02_T1,2017-06-21 15:24:40.414346+00:00,LANDSAT_8,42.48561349,63.15,2017-06-21,172,15,6
LC08_L1TP_010011_20170616_20201016_02_T1,2017-06-16 15:06:30.256884+00:00,LANDSAT_8,43.67894015,46.97,2017-06-16,167,15,6
LC08_L1TP_010010_20170616_20201015_02_T1,2017-06-16 15:06:06.374318+00:00,LANDSAT_8,42.42032083,0.65,2017-06-16,167,15,6
LC08_L1TP_012010_20170614_20201015_02_T1,2017-06-14 15:18:27.317634+00:00,LANDSAT_8,42.34603764,15.48,2017-06-14,165,15,6
LC08_L1TP_011010_20170607_20200903_02_T1,2017-06-07 15:12:13.666797+00:00,LANDSAT_8,41.86973468,3.68,2017-06-07,158,15,6
LC08_L1TP_013010_20170605_20200903_02_T1,2017-06-05 15:24:34.415560+00:00,LANDSAT_8,41.6739214,47.19,2017-06-05,156,15,6
LC08_L1TP_010011_20170531_20201015_02_T1,2017-05-31 15:06:23.432590+00:00,LANDSAT_8,42.33555843,0.0,2017-05-31,151,15,5
LC08_L1TP_010010_20170531_20201016_02_T1,2017-05-31 15:05:59.537315+00:00,LANDSAT_8,41.06458342,0.01,2017-05-31,151,15,5
LC08_L1GT_012010_20170529_20201016_02_T2,2017-05-29 15:18:20.158906+00:00,LANDSAT_8,40.77758048,87.31,2017-05-29,149,15,5
LC08_L1TP_011010_20170522_20201015_02_T1,2017-05-22 15:12:05.216077+00:00,LANDSAT_8,39.57181255,53.11,2017-05-22,142,15,5
LC08_L1TP_013010_20170520_20200904_02_T1,2017-05-20 15:24:25.575094+00:00,LANDSAT_8,39.17498619,51.29,2017-05-20,140,15,5
LC08_L1TP_010011_20170515_20200904_02_T1,2017-05-15 15:06:13.579319+00:00,LANDSAT_8,39.35403996,0.3,2017-05-15,135,15,5
LC08_L1TP_010010_20170515_20201015_02_T1,2017-05-15 15:05:49.684045+00:00,LANDSAT_8,38.07743811,0.01,2017-05-15,135,15,5
LC08_L1TP_012010_20170513_20200904_02_T1,2017-05-13 15:18:09.884686+00:00,LANDSAT_8,37.60333357,8.2,2017-05-13,133,15,5
LC08_L1TP_014010_20170511_20201015_02_T1,2017-05-11 15:30:30.034503+00:00,LANDSAT_8,37.10863031,64.63,2017-05-11,131,15,5
LC08_L1TP_011010_20170506_20201015_02_T1,2017-05-06 15:11:53.646209+00:00,LANDSAT_8,35.77551718,85.66,2017-05-06,126,15,5
LC08_L1TP_013010_20170504_20200904_02_T1,2017-05-04 15:24:13.668893+00:00,LANDSAT_8,35.21287006,13.07,2017-05-04,124,15,5
LC08_L1TP_010011_20170429_20200904_02_T1,2017-04-29 15:06:05.136480+00:00,LANDSAT_8,34.99205858,0.35,2017-04-29,119,15,4
LC08_L1TP_010010_20170429_20200904_02_T1,2017-04-29 15:05:41.241205+00:00,LANDSAT_8,33.71799297,0.0,2017-04-29,119,15,4
LC08_L1TP_011010_20170420_20200904_02_T1,2017-04-20 15:11:58.572879+00:00,LANDSAT_8,30.7861985,0.02,2017-04-20,110,15,4
LC08_L1GT_013010_20170418_20200904_02_T2,2017-04-18 15:24:21.527198+00:00,LANDSAT_8,30.09943906,99.9,2017-04-18,108,15,4
LC08_L1TP_010011_20170413_20200904_02_T1,2017-04-13 15:06:16.011997+00:00,LANDSAT_8,29.58339477,34.99,2017-04-13,103,15,4
LC08_L1TP_010010_20170413_20200904_02_T1,2017-04-13 15:05:52.142140+00:00,LANDSAT_8,28.31950173,0.53,2017-04-13,103,15,4
LC08_L1TP_012010_20170411_20200904_02_T1,2017-04-11 15:18:14.918879+00:00,LANDSAT_8,27.59388796,0.02,2017-04-11,101,15,4
LC08_L1TP_011010_20170404_20200904_02_T1,2017-04-04 15:12:07.658826+00:00,LANDSAT_8,24.96901215,0.0,2017-04-04,94,15,4
LC08_L1TP_013010_20170402_20200904_02_T1,2017-04-02 15:24:30.202705+00:00,LANDSAT_8,24.20540128,0.02,2017-04-02,92,15,4
LC08_L1TP_010011_20170328_20200904_02_T1,2017-03-28 15:06:23.608076+00:00,LANDSAT_8,23.50861361,4.35,2017-03-28,87,15,3
LC08_L1TP_010010_20170328_20200904_02_T1,2017-03-28 15:05:59.746690+00:00,LANDSAT_8,22.25780119,18.21,2017-03-28,87,15,3
LC08_L1TP_012010_20170326_20200904_02_T1,2017-03-26 15:18:22.053370+00:00,LANDSAT_8,21.47569107,0.01,2017-03-26,85,15,3
LC08_L1GT_011010_20170319_20200904_02_T2,2017-03-19 15:12:15.052269+00:00,LANDSAT_8,18.70380042,100.0,2017-03-19,78,15,3
LC08_L1TP_013010_20170317_20200904_02_T1,2017-03-17 15:24:38.070747+00:00,LANDSAT_8,17.91299994,0.07,2017-03-17,76,15,3
