day,scene,doy,month,hour,sun_elevation,scene_cloud,s2_ice,landsat_ice,landsat_share
2017-03-01,LC08_L1TP_013010_20170301_20200905_02_T1,60,3,15,11.64057422,8.12,0.9623972021237502,0.9632531815542867,0.999992876503503
2018-02-25,LC08_L1TP_012010_20180225_20200902_02_T1,56,2,15,10.03356349,36.25,0.9968282522249574,0.9998818106606784,0.8739426059887235
2018-02-27,LC08_L1TP_010011_20180227_20200902_02_T1,58,2,15,12.0131839,0.61,0.9357408088002331,0.9327886530181744,0.5570673144380525
2018-03-04,LC08_L1TP_013010_20180304_20200902_02_T1,63,3,15,12.69962077,39.14,1.0,1.0,0.5759453770288608
2018-03-06,LC08_L1TP_011010_20180306_20200901_02_T1,65,3,15,13.47256068,3.97,0.9729060137750997,0.9745871435393398,0.9994479290214809
2019-02-19,LC08_L1TP_013010_20190219_20200829_02_T1,50,2,15,7.75310287,63.28,1.0,,0.0
2019-02-21,LC08_L1TP_011010_20190221_20200829_02_T1,52,2,15,8.46977189,62.77,1.0,1.0,0.07231061294125608
2019-03-02,LC08_L1TP_010010_20190302_20200829_02_T1,61,3,15,11.83255734,46.75,1.0,,0.0
2019-03-07,LC08_L1TP_013010_20190307_20200829_02_T1,66,3,15,13.7739939,99.98,1.0,,0.0
2020-02-15,LC08_L1TP_012010_20200215_20200823_02_T1,46,2,15,6.26565363,37.05,1.0,1.0,0.860789069706975
2020-02-22,LC08_L1TP_013010_20200222_20200822_02_T1,53,2,15,8.74964609,34.9,1.0,1.0,0.30279490385060603
2020-02-24,LC08_L1TP_011010_20200224_20200822_02_T1,55,2,15,9.48182563,19.58,0.9372448102120504,0.9407823736202677,1.0
2020-03-02,LC08_L1TP_012010_20200302_20200822_02_T1,62,3,15,12.12892084,1.68,0.9657258482213766,0.9680404329661171,1.0
2021-02-19,LC08_L1GT_010010_20210219_20220825_02_T2,50,2,15,7.9339602,5.14,1.0,1.0,0.6046245739258658
2021-02-24,LC08_L1TP_013010_20210224_20210303_02_T1,55,2,15,9.76617904,29.77,0.4384174344236892,0.4088643740813327,0.9304996064268185
2021-02-26,LC08_L1TP_011010_20210226_20210303_02_T1,57,2,15,10.51148104,29.64,0.403990195910392,0.690014780752176,0.34699976136286736
2021-03-05,LC08_L1TP_012010_20210305_20210311_02_T1,64,3,15,13.19363949,11.54,0.09375,0.22580645161290322,0.0002208283914076385
2021-03-07,LC08_L1GT_010010_20210307_20210317_02_T2,66,3,15,13.97051584,99.99,1.0,,0.0
2022-02-14,LC09_L1TP_010011_20220214_20230427_02_T1,45,2,15,7.32558419,78.41,1.0,1.0,0.013268205416023573
2022-02-20,LC08_L1TP_012010_20220220_20220301_02_T1,51,2,15,8.20615367,100.0,0.7204968944099379,,0.0
2022-02-21,LC09_L1TP_011010_20220221_20230427_02_T1,52,2,15,8.56711961,11.09,0.905902802926052,0.9775977464874284,0.9382036678883463
2022-02-28,LC09_L1TP_012010_20220228_20230426_02_T1,59,2,15,11.17566548,16.63,0.8274471699485084,0.6101415077109649,0.9750855710016705
2022-03-01,LC08_L1TP_011010_20220301_20220308_02_T1,60,3,15,11.55508295,0.7,0.9332776463536718,0.9150175964922402,0.9877725182628642
2022-03-02,LC09_L1TP_010011_20220302_20230426_02_T1,61,3,15,13.16992349,100.0,0.6564102564102564,,0.0
2022-03-07,LC09_L1TP_013010_20220307_20230425_02_T1,66,3,15,13.88027223,57.25,0.9986657638999522,1.0,0.5706454956350775
