id,day,season,doy,hour,instrument,has_swir,sun_elevation,cloud,tier
LM01_L1TP_015010_19730321_20200909_02_T2,1973-03-21,1973,80,15,MSS,False,19.39732928,82.0,T2
LM01_L1TP_014010_19730320_20200909_02_T2,1973-03-20,1973,79,14,MSS,False,19.16132873,74.0,T2
LM02_L1TP_012010_19750528_20200908_02_T2,1975-05-28,1975,148,14,MSS,False,40.56609058,80.0,T2
LM02_L1GS_014010_19760506_20200907_02_T2,1976-05-06,1976,127,14,MSS,False,35.472394,99.0,T2
LM02_L1GS_013010_19760505_20200907_02_T2,1976-05-05,1976,126,14,MSS,False,35.11572305,81.0,T2
LM02_L1TP_012011_19760504_20200907_02_T2,1976-05-04,1976,125,14,MSS,False,35.89874055,85.0,T2
LM02_L1GS_012010_19760504_20200907_02_T2,1976-05-04,1976,125,14,MSS,False,34.81276925,65.0,T2
LM02_L1TP_016010_19760420_20200908_02_T2,1976-04-20,1976,111,14,MSS,False,30.36244854,86.0,T2
LM02_L1TP_014010_19760418_20200908_02_T2,1976-04-18,1976,109,14,MSS,False,29.68469505,96.0,T2
LM02_L1GS_013010_19760417_20200908_02_T2,1976-04-17,1976,108,14,MSS,False,29.34863489,100.0,T2
LM02_L1GS_012011_19760416_20200908_02_T2,1976-04-16,1976,107,14,MSS,False,30.06481489,99.0,T2
LM02_L1GS_012010_19760416_20200908_02_T2,1976-04-16,1976,107,14,MSS,False,28.97854102,100.0,T2
LM02_L1TP_014010_19760331_20200908_02_T2,1976-03-31,1976,91,14,MSS,False,23.31792487,87.0,T2
LM02_L1TP_015010_19780620_20210610_02_T2,1978-06-20,1978,171,14,MSS,False,42.04475022,39.0,T2
LM02_L1GS_014010_19790527_20210616_02_T2,1979-05-27,1979,147,14,MSS,False,40.29943501,59.0,T2
LM02_L1TP_015010_19790404_20210616_02_T2,1979-04-04,1979,94,14,MSS,False,24.55293164,73.0,T2
LM02_L1TP_014010_19790403_20210616_02_T2,1979-04-03,1979,93,14,MSS,False,24.16314775,88.0,T2
LM03_L1GS_014010_19800617_20210719_02_T2,1980-06-17,1980,169,14,MSS,False,42.24496561,64.0,T2
LM03_L1TP_014010_19800406_20210714_02_T2,1980-04-06,1980,97,14,MSS,False,25.59883998,68.0,T2
LM02_L1TP_014010_19810410_20210803_02_T2,1981-04-10,1981,100,14,MSS,False,27.11237195,86.0,T2
LM03_L1GS_012010_19820623_20210820_02_T2,1982-06-23,1982,174,14,MSS,False,42.55551534,95.0,T2
LM04_L1GS_010011_19830627_20210902_02_T2,1983-06-27,1983,178,14,MSS,False,43.14189266,78.0,T2
LM04_L1GS_010010_19830627_20210902_02_T2,1983-06-27,1983,178,14,MSS,False,42.02116081,40.0,T2
LM04_L1GS_012010_19830625_20210902_02_T2,1983-06-25,1983,176,14,MSS,False,42.09195047,28.0,T2
LM04_L1GS_014010_19830623_20210902_02_T2,1983-06-23,1983,174,15,MSS,False,42.13678852,64.0,T2
LM04_L1GS_011010_19830618_20210902_02_T2,1983-06-18,1983,169,14,MSS,False,42.1285683,50.0,T2
LM04_L1TP_013010_19830616_20210902_02_T2,1983-06-16,1983,167,14,MSS,False,42.07612323,13.0,T2
LM04_L1GS_010011_19830611_20210902_02_T2,1983-06-11,1983,162,14,MSS,False,42.96294262,44.0,T2
LM04_L1GS_010010_19830611_20210902_02_T2,1983-06-11,1983,162,14,MSS,False,41.82529921,81.0,T2
LM04_L1TP_012010_19830609_20210902_02_T2,1983-06-09,1983,160,14,MSS,False,41.67826451,32.0,T2
LM04_L1GS_011010_19830602_20210902_02_T2,1983-06-02,1983,153,14,MSS,False,40.94742481,12.0,T2
LM04_L1TP_013010_19830531_20210902_02_T2,1983-05-31,1983,151,14,MSS,False,40.68101356,10.0,T2
LM04_L1GS_010011_19830526_20210902_02_T2,1983-05-26,1983,146,14,MSS,False,41.05054856,19.0,T2
LM04_L1GS_010010_19830526_20210902_02_T2,1983-05-26,1983,146,14,MSS,False,39.89688802,6.0,T2
LM04_L1TP_012010_19830524_20210902_02_T2,1983-05-24,1983,144,14,MSS,False,39.54081725,3.0,T2
LM04_L1TP_013010_19830515_20210902_02_T2,1983-05-15,1983,135,14,MSS,False,37.64486133,67.0,T2
LM04_L1GS_010011_19830510_20210902_02_T2,1983-05-10,1983,130,14,MSS,False,37.55330002,53.0,T2
LM04_L1GS_010010_19830510_20210902_02_T2,1983-05-10,1983,130,14,MSS,False,36.39212414,68.0,T2
LM04_L1TP_012010_19830508_20210902_02_T2,1983-05-08,1983,128,14,MSS,False,35.86021431,50.0,T2
LM04_L1TP_011010_19830501_20210902_02_T2,1983-05-01,1983,121,14,MSS,False,33.85334682,1.0,T2
LM04_L1GS_013010_19830429_20210902_02_T2,1983-04-29,1983,119,14,MSS,False,33.22260088,1.0,T2
LM04_L1GS_010011_19830424_20210831_02_T2,1983-04-24,1983,114,14,MSS,False,32.76419669,1.0,T2
LM04_L1GS_010010_19830424_20210831_02_T2,1983-04-24,1983,114,14,MSS,False,31.60423621,0.0,T2
LM04_L1GS_012010_19830422_20210831_02_T2,1983-04-22,1983,112,14,MSS,False,30.95241935,2.0,T2
LM04_L1TP_011010_19830415_20210831_02_T2,1983-04-15,1983,105,14,MSS,False,28.49679693,2.0,T2
LM04_L1TP_013010_19830413_20210830_02_T2,1983-04-13,1983,103,14,MSS,False,27.75590209,4.0,T2
LM04_L1TP_012010_19830406_20210830_02_T2,1983-04-06,1983,96,14,MSS,False,25.14748128,5.0,T2
