day,season,doy,scene,sun_elevation,scene_cloud,landsat_ice,landsat_share
2013-03-22,2013,81,LC08_L1TP_011010_20130322_20200912_02_T1,19.89537121,0.02,0.05236968262637296,0.9977988395824207
2013-03-30,2013,89,LC08_L1TP_013010_20130330_20200913_02_T1,23.04425377,0.81,0.09793166046069511,0.996712506366625
2013-04-04,2013,94,LC08_L1TP_012010_20130404_20200912_02_T1,24.97195933,23.92,0.15130777331689557,0.9909531594487838
2013-04-09,2013,99,LC08_L1TP_012010_20130409_20200913_02_T1,26.8569425,0.15,0.14782775716108082,0.9828145647009378
2013-04-16,2013,106,LC08_L1TP_012010_20130416_20200913_02_T1,29.39832537,95.19,,0.0
2013-04-18,2013,108,LC08_L1TP_010011_20130418_20200913_02_T1,31.37273031,8.45,1.0,0.25129013451946536
2013-04-23,2013,113,LC08_L1TP_013010_20130423_20200912_02_T1,31.79947782,3.25,0.8265636252243731,0.994123115389958
2013-05-04,2013,124,LC08_L1TP_010010_20130504_20200912_02_T1,35.20655031,0.88,0.002065573317490363,0.5155773059648598
2013-05-11,2013,131,LC08_L1TP_011010_20130511_20200912_02_T1,37.10447177,40.36,0.14860515021459228,0.006639098735223197
2013-05-18,2013,138,LC08_L1TP_012010_20130518_20200913_02_T1,38.75357137,20.1,0.004089193689832195,0.3614711444965647
2013-05-20,2013,140,LC08_L1TP_010010_20130520_20200912_02_T1,39.17364011,22.05,0.00019919921913906098,0.1788033238234655
2013-05-25,2013,145,LC08_L1TP_013010_20130525_20200912_02_T1,40.12797532,33.68,0.0017721300138312586,0.16480921495506853
2013-05-27,2013,147,LC08_L1TP_011010_20130527_20200912_02_T1,40.46554916,2.81,0.0009524487237734486,0.650685102275601
2013-05-29,2013,149,LC08_L1TP_082234_20130529_20200912_02_T2,8.84534621,4.14,0.0007392416551693852,0.9732583941501847
2013-06-05,2013,156,LC08_L1TP_010010_20130605_20200912_02_T1,41.67751248,33.39,0.00012152021792625749,0.3517190777921435
2013-06-12,2013,163,LC08_L1TP_011010_20130612_20200912_02_T1,42.25153298,0.04,0.0008126719799255764,0.9992698416090554
2013-06-21,2013,172,LC08_L1TP_010011_20130621_20200912_02_T1,43.75989046,27.77,0.0003681885125184094,0.0195481470285521
2014-02-14,2014,45,LC08_L1TP_012010_20140214_20200911_02_T1,6.08609144,7.88,0.6963677897870258,0.8591043627854296
2014-02-16,2014,47,LC08_L1TP_010011_20140216_20200911_02_T1,8.00400462,63.0,0.08787907535654428,0.13865844675178898
2014-02-21,2014,52,LC08_L1TP_013010_20140221_20200911_02_T1,8.55623563,46.81,1.0,0.001218117900990522
2014-02-23,2014,54,LC08_L1TP_011010_20140223_20200911_02_T1,9.28555432,39.26,0.9665351807110103,0.7223581622803738
2014-03-02,2014,61,LC08_L1TP_012010_20140302_20200911_02_T1,11.92377551,1.93,0.34300520108975213,0.9347630190802854
2014-03-04,2014,63,LC08_L1TP_010010_20140304_20200911_02_T1,12.69079928,15.2,0.3424611287206707,0.7596069254632944
2014-03-09,2014,68,LC08_L1TP_013010_20140309_20200911_02_T1,14.64623087,31.68,0.6474671486211918,0.6188074554514338
2014-03-11,2014,70,LC08_L1TP_011010_20140311_20200911_02_T1,15.43071494,8.89,0.4243749623924424,0.9470831062718825
2014-03-18,2014,77,LC08_L1TP_012010_20140318_20200911_02_T1,18.20512751,1.83,0.45063137734399517,0.9874982636477289
2014-03-20,2014,79,LC08_L1TP_010011_20140320_20200911_02_T1,20.24187086,4.8,1.0,0.29232583836116177
2014-03-25,2014,84,LC08_L1TP_013010_20140325_20200911_02_T1,20.98004925,5.05,0.8904387650432697,0.9861341140685494
2014-03-27,2014,86,LC08_L1TP_011010_20140327_20200911_02_T1,21.76425594,6.47,0.8209204114780726,0.9867823522497783
2014-04-03,2014,93,LC08_L1TP_012010_20140403_20200911_02_T1,24.48700406,0.2,0.996741000352613,1.0
2014-04-05,2014,95,LC08_L1TP_010010_20140405_20200911_02_T1,25.24806997,2.23,1.0,0.39207368544776516
2014-04-10,2014,100,LC08_L1TP_013010_20140410_20200911_02_T1,27.12956713,32.92,0.9999962780033721,0.9569455871720075
2014-04-12,2014,102,LC08_L1TP_011010_20140412_20200911_02_T1,27.86168167,10.97,0.9999205058717254,0.9857138277752252
2014-04-19,2014,109,LC08_L1TP_012010_20140419_20200911_02_T1,30.35312011,2.05,0.9994158628844976,0.9999821912587574
2014-04-21,2014,111,LC08_L1TP_010010_20140421_20200911_02_T1,31.03467008,0.01,0.9995208594268806,0.8474325137750613
2014-04-26,2014,116,LC08_L1TP_013010_20140426_20200911_02_T1,32.69114437,61.8,,0.0
2014-04-28,2014,118,LC08_L1TP_011010_20140428_20200911_02_T1,33.32389782,7.74,1.0,0.9645321109413344
2014-05-05,2014,125,LC08_L1TP_012010_20140505_20200911_02_T1,35.4191611,15.66,0.9998860228381738,0.9999893147552544
2014-05-07,2014,127,LC08_L1TP_010010_20140507_20200911_02_T1,35.97507301,1.17,0.9998790679054561,0.8541214769857637
2014-05-12,2014,132,LC08_L1TP_013010_20140512_20200911_02_T1,37.29044043,44.73,0.9995475403294761,0.9997399923778587
2014-05-14,2014,134,LC08_L1TP_011010_20140514_20200911_02_T1,37.77767313,78.58,1.0,0.3361862936803901
2014-05-21,2014,141,LC08_L1GT_012010_20140521_20200911_02_T2,39.32295724,71.84,1.0,0.06189249931436346
2014-05-23,2014,143,LC08_L1TP_010010_20140523_20200911_02_T1,39.71108158,3.37,0.9191121587114516,0.4533215083291483
