dropped,season_value,days,period,decline_percent,shift,permutation_p,seasons_left
2025,0.390190265625,128,late,18.490210309834342,-4.0756274626006395,0.19047619047619047,9
2021,0.431086171875,128,late,19.686220590698756,-2.8796171817362257,0.18253968253968253,9
2018,0.755518625,128,early,19.763833383238083,-2.802004389196899,0.20238095238095238,9
2023,0.4384252109375,128,late,19.90085249338256,-2.6649852790524236,0.18253968253968253,9
2017,0.738073078125,128,early,20.464620867806737,-2.101216904628245,0.20238095238095238,9
2026,0.48442146875000003,128,late,21.24602374081126,-1.3198140316237215,0.15873015873015872,9
2020,0.63084265625,128,early,24.516899706283002,1.9510619338480204,0.13095238095238096,9
2019,0.61105425,128,early,25.219999920714198,2.654162148279216,0.13095238095238096,9
2024,0.6675753359375,128,late,26.6024011443888,4.036563371953818,0.0873015873015873,9
2022,0.765605578125,128,late,29.469318355494202,6.9034805830592205,0.031746031746031744,9
