lag_days,pairs,median,p90,worst,sun_from,sun_to,period,median_sun
1.0,121,0.003275717870086403,0.15183629940678534,0.9400064059405293,,,,
2.0,117,0.005025239157393946,0.3286967322692247,0.9400064059405293,,,,
3.0,121,0.006297715969208362,0.25058736905588086,0.9796965571436387,,,,
5.0,141,0.007735916291425005,0.2439797400296618,0.9967556197301104,,,,
10.0,139,0.010802420248994249,0.4847758794527917,0.9967556197301104,,,,
1.0,8,0.015141177250468152,0.15507476275593635,0.1626311772372887,0.0,10.0,,
1.0,16,0.010890655346357025,0.30994161994131647,0.556257988375963,10.0,15.0,,
1.0,40,0.013260985143442261,0.18397756833042578,0.9400064059405293,15.0,20.0,,
1.0,57,0.0011192941720034044,0.007400668940710896,0.4047473892672705,20.0,30.0,,
,48,0.0018778145301585059,0.02138433077518441,,,,early,19.162618816194026
,73,0.005063872743428677,0.26266404971691837,,,,late,19.878970247069994
