date,scene_id,acquired_utc,polarisation,relative_orbit,orbit_state,platform,valid_share,water_cells,land_cells,water_median_db,water_p5_db,water_p95_db,land_median_db,land_contrast_db,passes_gates,reject_reason,role,season,target_day,offset_days,spread_db
2016-04-15,S1A_IW_GRDH_1SSH_20160415T204729_20160415T204754_010837_010366_rtc,2016-04-15T20:47:41.841812Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-19.939,-24.536,-13.284,-10.032,9.906,1,,suspect,2016,2016-04-17,-2,11.252
2016-02-15,S1A_IW_GRDH_1SSH_20160215T204727_20160215T204752_009962_00EA20_rtc,2016-02-15T20:47:40.487735Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-17.451,-22.029,-12.557,-10.888,6.564,1,,closed_ice,2016,2016-02-20,-5,9.472
2016-02-23,S1A_IW_GRDH_1SSH_20160223T095944_20160223T100009_010072_00ED50_rtc,2016-02-23T09:59:57.224701Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-15.949,-20.022,-11.776,-12.479,3.47,1,,closed_ice,2016,2016-02-20,3,8.246
2016-04-03,S1A_IW_GRDH_1SSH_20160403T204728_20160403T204753_010662_00FE29_rtc,2016-04-03T20:47:41.341375Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-17.043,-22.293,-12.506,-10.52,6.523,1,,closed_ice,2016,2016-04-01,2,9.787
2016-06-14,S1A_IW_GRDH_1SSH_20160614T204735_20160614T204800_011712_011F37_rtc,2016-06-14T20:47:47.742494Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-17.774,-21.071,-14.618,-7.792,9.982,1,,open_water,2016,2016-06-18,-4,6.453
2020-04-24,S1B_IW_GRDH_1SDH_20200424T204715_20200424T204740_021291_02869D_rtc,2020-04-24T20:47:27.618391Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-15.518,-20.333,-10.912,-9.87,5.648,1,,suspect,2020,2020-04-26,-2,9.421
2020-04-25,S1B_IW_GRDH_1SDH_20200425T100728_20200425T100757_021299_0286DE_rtc,2020-04-25T10:07:42.746355Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-15.938,-20.629,-11.692,-11.184,4.754,1,,suspect,2020,2020-04-26,-1,8.937
2020-04-26,S1A_IW_GRDH_1SDH_20200426T095952_20200426T100021_032297_03BCB0_rtc,2020-04-26T10:00:07.407643Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-15.175,-20.619,-11.215,-11.112,4.063,1,,suspect,2020,2020-04-26,0,9.404
2020-02-26,S1A_IW_GRDH_1SDH_20200226T100012_20200226T100037_031422_039E08_rtc,2020-02-26T10:00:24.823945Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-20.03,-23.821,-15.688,-12.59,7.44,1,,closed_ice,2020,2020-03-02,-5,8.133
2020-03-01,S1B_IW_GRDH_1SDH_20200301T101535_20200301T101604_020497_026D70_rtc,2020-03-01T10:15:50.245211Z,HH,171,descending,SENTINEL-1B,1.0,2528997,141891,-19.191,-22.845,-14.704,-11.152,8.039,1,,closed_ice,2020,2020-03-02,-1,8.141
2020-03-01,S1A_IW_GRDH_1SDH_20200301T204755_20200301T204820_031487_03A045_rtc,2020-03-01T20:48:08.136096Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-18.184,-22.489,-13.631,-10.615,7.569,1,,closed_ice,2020,2020-03-02,-1,8.858
2020-03-03,S1B_IW_GRDH_1SDH_20200303T095920_20200303T095949_020526_026E50_rtc,2020-03-03T09:59:35.207921Z,HH,25,descending,SENTINEL-1B,1.0,2528997,141891,-21.517,-25.237,-17.086,-12.789,8.728,1,,closed_ice,2020,2020-03-02,1,8.151
2020-03-07,S1B_IW_GRDH_1SDH_20200307T204713_20200307T204738_020591_027077_rtc,2020-03-07T20:47:26.366548Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-19.089,-23.757,-14.093,-11.067,8.023,1,,closed_ice,2020,2020-03-02,5,9.664
2020-03-07,S1B_IW_GRDH_1SDH_20200307T204713_20200307T204738_020591_027077_rtc,2020-03-07T20:47:26.366548Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-19.089,-23.757,-14.093,-11.067,8.023,1,,closed_ice,2020,2020-03-09,-2,9.664
2020-03-08,S1B_IW_GRDH_1SDH_20200308T100726_20200308T100755_020599_0270BC_rtc,2020-03-08T10:07:41.470150Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-20.549,-24.38,-15.847,-11.887,8.663,1,,closed_ice,2020,2020-03-09,-1,8.533
2020-03-09,S1A_IW_GRDH_1SDH_20200309T095951_20200309T100020_031597_03A41B_rtc,2020-03-09T10:00:06.161638Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-20.8,-24.462,-16.387,-12.278,8.522,1,,closed_ice,2020,2020-03-09,0,8.075
2020-03-13,S1B_IW_GRDH_1SDH_20200313T101535_20200313T101604_020672_0272FD_rtc,2020-03-13T10:15:50.433092Z,HH,171,descending,SENTINEL-1B,1.0,2528997,141891,-19.752,-23.35,-15.303,-11.177,8.575,1,,closed_ice,2020,2020-03-09,4,8.047
2020-03-13,S1A_IW_GRDH_1SDH_20200313T204755_20200313T204820_031662_03A659_rtc,2020-03-13T20:48:08.304687Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-18.9,-23.086,-14.246,-10.698,8.202,1,,closed_ice,2020,2020-03-09,4,8.84
2020-03-07,S1B_IW_GRDH_1SDH_20200307T204713_20200307T204738_020591_027077_rtc,2020-03-07T20:47:26.366548Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-19.089,-23.757,-14.093,-11.067,8.023,1,,closed_ice,2020,2020-03-11,-4,9.664
2020-03-08,S1B_IW_GRDH_1SDH_20200308T100726_20200308T100755_020599_0270BC_rtc,2020-03-08T10:07:41.470150Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-20.549,-24.38,-15.847,-11.887,8.663,1,,closed_ice,2020,2020-03-11,-3,8.533
2020-03-09,S1A_IW_GRDH_1SDH_20200309T095951_20200309T100020_031597_03A41B_rtc,2020-03-09T10:00:06.161638Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-20.8,-24.462,-16.387,-12.278,8.522,1,,closed_ice,2020,2020-03-11,-2,8.075
2020-03-13,S1B_IW_GRDH_1SDH_20200313T101535_20200313T101604_020672_0272FD_rtc,2020-03-13T10:15:50.433092Z,HH,171,descending,SENTINEL-1B,1.0,2528997,141891,-19.752,-23.35,-15.303,-11.177,8.575,1,,closed_ice,2020,2020-03-11,2,8.047
2020-03-13,S1A_IW_GRDH_1SDH_20200313T204755_20200313T204820_031662_03A659_rtc,2020-03-13T20:48:08.304687Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-18.9,-23.086,-14.246,-10.698,8.202,1,,closed_ice,2020,2020-03-11,2,8.84
2020-03-15,S1B_IW_GRDH_1SDH_20200315T095920_20200315T095949_020701_0273DD_rtc,2020-03-15T09:59:35.387394Z,HH,25,descending,SENTINEL-1B,1.0,2528997,141891,-21.931,-25.682,-17.44,-12.821,9.11,1,,closed_ice,2020,2020-03-11,4,8.242
2020-03-13,S1B_IW_GRDH_1SDH_20200313T101535_20200313T101604_020672_0272FD_rtc,2020-03-13T10:15:50.433092Z,HH,171,descending,SENTINEL-1B,1.0,2528997,141891,-19.752,-23.35,-15.303,-11.177,8.575,1,,closed_ice,2020,2020-03-18,-5,8.047
2020-03-13,S1A_IW_GRDH_1SDH_20200313T204755_20200313T204820_031662_03A659_rtc,2020-03-13T20:48:08.304687Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-18.9,-23.086,-14.246,-10.698,8.202,1,,closed_ice,2020,2020-03-18,-5,8.84
2020-03-15,S1B_IW_GRDH_1SDH_20200315T095920_20200315T095949_020701_0273DD_rtc,2020-03-15T09:59:35.387394Z,HH,25,descending,SENTINEL-1B,1.0,2528997,141891,-21.931,-25.682,-17.44,-12.821,9.11,1,,closed_ice,2020,2020-03-18,-3,8.242
2020-03-19,S1B_IW_GRDH_1SDH_20200319T204714_20200319T204739_020766_027604_rtc,2020-03-19T20:47:26.545689Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-19.78,-24.021,-15.007,-11.048,8.731,1,,closed_ice,2020,2020-03-18,1,9.014
2020-03-20,S1B_IW_GRDH_1SDH_20200320T100727_20200320T100756_020774_027645_rtc,2020-03-20T10:07:41.646091Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-20.473,-24.345,-15.762,-11.865,8.608,1,,closed_ice,2020,2020-03-18,2,8.583
2020-06-11,S1B_IW_GRDH_1SDH_20200611T204717_20200611T204742_021991_029BCE_rtc,2020-06-11T20:47:30.407608Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-19.54,-22.877,-16.455,-9.202,10.338,1,,open_water,2020,2020-06-13,-2,6.422
2020-06-12,S1B_IW_GRDH_1SDH_20200612T100730_20200612T100800_021999_029C06_rtc,2020-06-12T10:07:45.515641Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-22.999,-26.547,-19.671,-10.469,12.53,1,,open_water,2020,2020-06-13,-1,6.876
2020-06-13,S1A_IW_GRDH_1SDH_20200613T095955_20200613T100024_032997_03D276_rtc,2020-06-13T10:00:10.198678Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-24.179,-28.152,-19.886,-10.514,13.665,1,,open_water,2020,2020-06-13,0,8.266
2020-06-17,S1B_IW_GRDH_1SDH_20200617T101540_20200617T101609_022072_029E37_rtc,2020-06-17T10:15:54.580595Z,HH,171,descending,SENTINEL-1B,1.0,2528997,141891,-20.367,-24.771,-15.959,-9.971,10.396,1,,open_water,2020,2020-06-13,4,8.812
2020-06-17,S1A_IW_GRDH_1SDH_20200617T204800_20200617T204825_033062_03D477_rtc,2020-06-17T20:48:12.516215Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-18.865,-22.187,-15.843,-8.874,9.991,1,,open_water,2020,2020-06-13,4,6.344
