season,day,n,orbit,ice,water,val,pos,spread,verdict
2016,2016-04-17,1,True,-17.247,-17.774,-19.939,-4.108159392789364,11.252,wie Wasser
2020,2020-04-26,3,True,-20.03,-21.2695,-15.518,4.640177490923761,9.404,wie Eis
2021,2021-02-24,3,True,-14.727,-23.5985,-19.439,0.4688609592515359,12.091,dazwischen
2021,2021-03-12,2,True,-15.407,-23.9435,-20.241999999999997,0.433608621800504,10.3415,dazwischen
2021,2021-03-14,3,True,-14.813500000000001,-23.436,-21.831,0.18614091040881423,10.93,wie Wasser
2021,2021-04-29,2,True,-15.407,-23.9435,-21.4665,0.29016575880044515,12.396,dazwischen
2021,2021-05-01,3,True,-14.813500000000001,-23.436,-19.703,0.4329370832125255,10.266,dazwischen
2021,2021-05-15,3,True,-14.813500000000001,-23.436,-19.694,0.4339808640185563,7.881,dazwischen
2021,2021-05-26,2,True,-14.22,-22.4175,-20.21,0.26928941750533697,12.595,dazwischen
2023,2023-03-10,1,True,-17.183,-20.991,-16.908,1.0722163865546215,10.69,wie Eis
2023,2023-03-11,1,True,-17.183,-20.991,-16.908,1.0722163865546215,10.69,wie Eis
2023,2023-03-12,1,True,-17.183,-20.991,-16.908,1.0722163865546215,10.69,wie Eis
2023,2023-03-19,1,True,-16.983,-24.138,-22.04,0.29322152341020297,13.975,dazwischen
2023,2023-05-17,1,True,-16.983,-24.138,-24.775,-0.08902865129280178,7.912,wie Wasser
2024,2024-06-04,1,True,-16.0605,-24.922,-20.314,0.5200022569542403,16.671,dazwischen
2025,2025-02-19,2,True,-17.339,-24.452,-20.835,0.5085055532124279,7.8105,dazwischen
2025,2025-02-20,3,True,-17.339,-24.452,-19.73,0.6638549135385912,8.146,dazwischen
2025,2025-03-01,1,True,-16.738,-22.267,-17.508,0.8607343100018087,13.022,wie Eis
2025,2025-05-12,3,True,-17.324,-22.267,-15.629,1.3429091644750157,9.396,wie Eis
2025,2025-05-13,1,True,-17.324,-20.329,-26.284,-1.9816971713810316,13.467,wie Wasser
2025,2025-05-14,1,True,-17.324,-20.329,-26.284,-1.9816971713810316,13.467,wie Wasser
2026,2026-02-14,2,True,-15.996,-21.88,-20.313499999999998,0.266230455472468,16.0005,dazwischen
2026,2026-03-04,3,True,-16.721,-22.315,-21.54,0.13854129424383302,8.822,wie Wasser
2026,2026-03-10,2,True,-17.446,-23.248,-20.2365,0.5190451568424684,9.3205,dazwischen
2026,2026-03-11,3,True,-18.125999999999998,-23.248,-21.046,0.4299101913315112,10.187,dazwischen
2026,2026-05-06,3,True,-16.721,-22.315,-15.393,1.2373972112978189,11.106,wie Eis
2026,2026-05-07,3,True,-16.721,-22.315,-15.393,1.2373972112978189,11.106,wie Eis
