date,scene_id,acquired_utc,polarisation,relative_orbit,orbit_state,platform,valid_share,water_cells,land_cells,water_median_db,water_p5_db,water_p95_db,land_median_db,land_contrast_db,passes_gates,reject_reason,target_day,offset_days
2023-03-22,S1A_IW_GRDH_1SDH_20230322T204812_20230322T204837_047762_05BCE8_rtc,2023-03-22T20:48:25.342853Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-17.183,-22.603,-10.863,-10.545,6.638,1,,2023-03-23,-1
2023-03-22,S1A_IW_GRDH_1SDH_20230322T204812_20230322T204837_047762_05BCE8_rtc,2023-03-22T20:48:25.342853Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-17.183,-22.603,-10.863,-10.545,6.638,1,,2023-03-25,-3
2023-03-22,S1A_IW_GRDH_1SDH_20230322T204812_20230322T204837_047762_05BCE8_rtc,2023-03-22T20:48:25.342853Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-17.183,-22.603,-10.863,-10.545,6.638,1,,2023-03-26,-4
2023-03-30,S1A_IW_GRDH_1SDH_20230330T100009_20230330T100038_047872_05C09C_rtc,2023-03-30T10:00:23.594962Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.983,-21.555,-12.219,-11.983,4.999,1,,2023-03-26,4
2023-03-30,S1A_IW_GRDH_1SDH_20230330T100009_20230330T100038_047872_05C09C_rtc,2023-03-30T10:00:23.594962Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.983,-21.555,-12.219,-11.983,4.999,1,,2023-03-28,2
2023-03-30,S1A_IW_GRDH_1SDH_20230330T100009_20230330T100038_047872_05C09C_rtc,2023-03-30T10:00:23.594962Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.983,-21.555,-12.219,-11.983,4.999,1,,2023-03-30,0
2023-04-03,S1A_IW_GRDH_1SDH_20230403T204813_20230403T204838_047937_05C2C8_rtc,2023-04-03T20:48:25.959616Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-15.099,-19.126,-11.105,-10.536,4.564,1,,2023-03-30,4
2023-03-30,S1A_IW_GRDH_1SDH_20230330T100009_20230330T100038_047872_05C09C_rtc,2023-03-30T10:00:23.594962Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.983,-21.555,-12.219,-11.983,4.999,1,,2023-03-31,-1
2023-04-03,S1A_IW_GRDH_1SDH_20230403T204813_20230403T204838_047937_05C2C8_rtc,2023-04-03T20:48:25.959616Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-15.099,-19.126,-11.105,-10.536,4.564,1,,2023-03-31,3
2023-04-11,S1A_IW_GRDH_1SDH_20230411T100009_20230411T100038_048047_05C692_rtc,2023-04-11T10:00:24.226457Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.517,-22.45,-10.761,-11.932,4.585,1,,2023-04-11,0
2023-04-15,S1A_IW_GRDH_1SDH_20230415T204813_20230415T204838_048112_05C8B4_rtc,2023-04-15T20:48:26.462145Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-16.863,-20.896,-12.348,-10.218,6.644,1,,2023-04-11,4
2023-04-11,S1A_IW_GRDH_1SDH_20230411T100009_20230411T100038_048047_05C692_rtc,2023-04-11T10:00:24.226457Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-16.517,-22.45,-10.761,-11.932,4.585,1,,2023-04-12,-1
2023-04-15,S1A_IW_GRDH_1SDH_20230415T204813_20230415T204838_048112_05C8B4_rtc,2023-04-15T20:48:26.462145Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-16.863,-20.896,-12.348,-10.218,6.644,1,,2023-04-12,3
2025-03-11,S1A_IW_GRDH_1SDH_20250311T204811_20250311T204836_058262_073360_rtc,2025-03-11T20:48:23.617072Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-22.846,-26.45,-16.585,-10.569,12.277,1,,2025-03-15,-4
2025-03-19,S1A_IW_GRDH_1SDH_20250319T100007_20250319T100036_058372_0737BC_rtc,2025-03-19T10:00:21.753700Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-20.785,-25.063,-15.594,-11.501,9.284,1,,2025-03-15,4
