series,window,split,aggregate,weighting,seasons_early,seasons_late,decline_percent,permutation_p,is_published
frac_filled,53-180,2020,mean,equal,3,7,22.454279607070028,0.13333333333333333,False
frac_filled,53-180,2020,mean,by_days,3,7,22.454279607070028,0.13333333333333333,False
frac_filled,53-180,2020,median,equal,3,7,42.87362892326957,0.058333333333333334,False
frac_filled,53-180,2020,median,by_days,3,7,42.87362892326957,0.058333333333333334,False
frac_filled,53-180,2021,mean,equal,4,6,22.565837772434982,0.11904761904761904,True
frac_filled,53-180,2021,mean,by_days,4,6,22.565837772434982,0.11904761904761904,False
frac_filled,53-180,2021,median,equal,4,6,48.86265855220875,0.02857142857142857,False
frac_filled,53-180,2021,median,by_days,4,6,48.86265855220875,0.02857142857142857,False
frac_filled,53-180,2022,mean,equal,5,5,13.27481429979257,0.4126984126984127,False
frac_filled,53-180,2022,mean,by_days,5,5,13.27481429979257,0.4126984126984127,False
frac_filled,53-180,2022,median,equal,5,5,33.144182377433914,0.24603174603174602,False
frac_filled,53-180,2022,median,by_days,5,5,33.144182377433914,0.24603174603174602,False
frac_filled,45-180,2020,mean,equal,3,7,22.599502887707356,0.13333333333333333,False
frac_filled,45-180,2020,mean,by_days,3,7,22.545113900840363,0.13333333333333333,False
frac_filled,45-180,2020,median,equal,3,7,43.23138836503644,0.058333333333333334,False
frac_filled,45-180,2020,median,by_days,3,7,43.080337052843056,0.058333333333333334,False
frac_filled,45-180,2021,mean,equal,4,6,23.072375843185412,0.11428571428571428,False
frac_filled,45-180,2021,mean,by_days,4,6,22.986171144003098,0.11428571428571428,False
frac_filled,45-180,2021,median,equal,4,6,49.29727238891941,0.02857142857142857,False
frac_filled,45-180,2021,median,by_days,4,6,49.15305143561033,0.02857142857142857,False
frac_filled,45-180,2022,mean,equal,5,5,13.834701761183354,0.40476190476190477,False
frac_filled,45-180,2022,mean,by_days,5,5,13.839285641488742,0.40476190476190477,False
frac_filled,45-180,2022,median,equal,5,5,33.760103314086145,0.23809523809523808,False
frac_filled,45-180,2022,median,by_days,5,5,33.77717216441707,0.23809523809523808,False
frac_filled,74-180,2020,mean,equal,3,7,19.60126502440427,0.175,False
frac_filled,74-180,2020,mean,by_days,3,7,19.601265024404245,0.175,False
frac_filled,74-180,2020,median,equal,3,7,45.54343984609082,0.14166666666666666,False
frac_filled,74-180,2020,median,by_days,3,7,45.54343984609082,0.14166666666666666,False
frac_filled,74-180,2021,mean,equal,4,6,17.991351217775286,0.18571428571428572,False
frac_filled,74-180,2021,mean,by_days,4,6,17.991351217775264,0.18571428571428572,False
frac_filled,74-180,2021,median,equal,4,6,47.828004821256684,0.10952380952380952,False
frac_filled,74-180,2021,median,by_days,4,6,47.82800482125668,0.10952380952380952,False
frac_filled,74-180,2022,mean,equal,5,5,6.420988793425996,0.6587301587301587,False
frac_filled,74-180,2022,mean,by_days,5,5,6.4209887934260195,0.6587301587301587,False
frac_filled,74-180,2022,median,equal,5,5,23.7979959099483,0.5,False
frac_filled,74-180,2022,median,by_days,5,5,23.797995909948277,0.5,False
frac_filled,53-166,2020,mean,equal,3,7,22.404799268605437,0.13333333333333333,False
frac_filled,53-166,2020,mean,by_days,3,7,22.40479926860546,0.13333333333333333,False
frac_filled,53-166,2020,median,equal,3,7,31.840539411399003,0.058333333333333334,False
frac_filled,53-166,2020,median,by_days,3,7,31.840539411398993,0.058333333333333334,False
frac_filled,53-166,2021,mean,equal,4,6,22.53872335120719,0.11904761904761904,False
frac_filled,53-166,2021,mean,by_days,4,6,22.538723351207203,0.11904761904761904,False
frac_filled,53-166,2021,median,equal,4,6,36.40466383069694,0.03333333333333333,False
frac_filled,53-166,2021,median,by_days,4,6,36.40466383069694,0.03333333333333333,False
frac_filled,53-166,2022,mean,equal,5,5,13.234377402284991,0.4126984126984127,False
frac_filled,53-166,2022,mean,by_days,5,5,13.234377402284991,0.4126984126984127,False
frac_filled,53-166,2022,median,equal,5,5,26.03650716596846,0.2222222222222222,False
frac_filled,53-166,2022,median,by_days,5,5,26.03650716596848,0.2222222222222222,False
frac_filled,53-196,2020,mean,equal,3,7,21.728458878914058,0.125,False
frac_filled,53-196,2020,mean,by_days,3,7,21.32119323259596,0.125,False
frac_filled,53-196,2020,median,equal,3,7,45.76062705924762,0.05,False
frac_filled,53-196,2020,median,by_days,3,7,45.23523549274818,0.05,False
frac_filled,53-196,2021,mean,equal,4,6,22.569512138181068,0.1,False
frac_filled,53-196,2021,mean,by_days,4,6,22.129866930265575,0.1,False
frac_filled,53-196,2021,median,equal,4,6,51.895549079351134,0.023809523809523808,False
frac_filled,53-196,2021,median,by_days,4,6,51.19379131532724,0.023809523809523808,False
frac_filled,53-196,2022,mean,equal,5,5,13.79172602244385,0.35714285714285715,False
frac_filled,53-196,2022,mean,by_days,5,5,13.403959657360753,0.35714285714285715,False
frac_filled,53-196,2022,median,equal,5,5,32.64989046805514,0.3253968253968254,False
frac_filled,53-196,2022,median,by_days,5,5,32.0310266220554,0.3253968253968254,False
frac,53-180,2020,mean,equal,3,7,24.892365080522083,0.10833333333333334,False
frac,53-180,2020,mean,by_days,3,7,22.75596357158438,0.10833333333333334,False
frac,53-180,2020,median,equal,3,7,33.08952546496023,0.18333333333333332,False
frac,53-180,2020,median,by_days,3,7,31.8482785468125,0.18333333333333332,False
frac,53-180,2021,mean,equal,4,6,27.03356714062516,0.06190476190476191,False
frac,53-180,2021,mean,by_days,4,6,25.241483690185195,0.06190476190476191,False
frac,53-180,2021,median,equal,4,6,38.29607562016086,0.1,False
frac,53-180,2021,median,by_days,4,6,37.4298146026949,0.1,False
frac,53-180,2022,mean,equal,5,5,10.88561127832184,0.5238095238095238,False
frac,53-180,2022,mean,by_days,5,5,6.840746143961196,0.5238095238095238,False
frac,53-180,2022,median,equal,5,5,9.150582997369316,0.8650793650793651,False
frac,53-180,2022,median,by_days,5,5,4.113852984839572,0.8650793650793651,False
frac,45-180,2020,mean,equal,3,7,25.489414060505776,0.125,False
frac,45-180,2020,mean,by_days,3,7,23.192214467791473,0.125,False
frac,45-180,2020,median,equal,3,7,34.244445468961324,0.125,False
frac,45-180,2020,median,by_days,3,7,32.52340267174255,0.125,False
frac,45-180,2021,mean,equal,4,6,28.07950150432249,0.06666666666666667,False
frac,45-180,2021,mean,by_days,4,6,26.13564400782995,0.06666666666666667,False
frac,45-180,2021,median,equal,4,6,39.76207948018159,0.08095238095238096,False
frac,45-180,2021,median,by_days,4,6,38.39406154499346,0.08095238095238096,False
frac,45-180,2022,mean,equal,5,5,12.231588797786209,0.5,False
frac,45-180,2022,mean,by_days,5,5,8.538431166047534,0.5,False
frac,45-180,2022,median,equal,5,5,11.33085509905909,0.6587301587301587,False
frac,45-180,2022,median,by_days,5,5,6.778842122523798,0.6587301587301587,False
frac,74-180,2020,mean,equal,3,7,23.204748011545316,0.15833333333333333,False
frac,74-180,2020,mean,by_days,3,7,21.65486852066748,0.15833333333333333,False
frac,74-180,2020,median,equal,3,7,25.484462680832344,0.26666666666666666,False
frac,74-180,2020,median,by_days,3,7,25.28583229068063,0.26666666666666666,False
frac,74-180,2021,mean,equal,4,6,23.62737587249376,0.13333333333333333,False
frac,74-180,2021,mean,by_days,4,6,21.980376578404094,0.13333333333333333,False
frac,74-180,2021,median,equal,4,6,29.912721115615383,0.11428571428571428,False
frac,74-180,2021,median,by_days,4,6,29.90555244089044,0.11428571428571428,False
frac,74-180,2022,mean,equal,5,5,4.3163591260250715,0.8253968253968254,False
frac,74-180,2022,mean,by_days,5,5,-0.07461409677771424,0.8253968253968254,False
frac,74-180,2022,median,equal,5,5,-4.30605186902735,0.9285714285714286,False
frac,74-180,2022,median,by_days,5,5,-8.937553041742374,0.9285714285714286,False
