tile_id,timestamp,solid_px,light_px,water_px,cloud_px,land_px,nodata_px,unknown_px,solid_pct,light_pct,water_pct,cloud_pct,land_pct,nodata_pct,clear_px,clear_pct,usable,solid_pct_clear,light_pct_clear,water_pct_clear,mean_ndsi_solid,mean_ndsi_light,mean_ndwi_water,eo_cloud_cover,sun_elev,sun_azim,edge_gap
S2A_22WDD_20170219_0_L1C,20170219T153251,142044,46,15601,137,8869,0,0,0.8521,0.0003,0.0936,0.0008,0.0532,0.0,157698,0.946,1,0.9007,0.0003,0.0989,0.836,0.6233,0.4076,20.2431,8.223486069715904,177.61236476968,0
S2A_22WDD_20170225_0_L1C,20170225T155219,5242,29829,2020,115319,8869,0,5528,0.0314,0.1789,0.0121,0.6918,0.0532,0.0,48044,0.2882,0,0.1091,0.6209,0.042,0.8024,0.5028,0.2467,88.7406,10.418685868855604,182.786711283815,0
S2A_22WDD_20170226_0_L1C,20170226T152153,14075,128651,7080,88,8869,7735,0,0.0844,0.7717,0.0425,0.0005,0.0532,0.0464,150012,0.8999,1,0.0938,0.8576,0.0472,0.7825,0.6097,0.3358,79.4905,10.744376514623298,175.302917888199,0
S2A_22WDD_20170301_0_L1C,20170301T153141,151888,11,5935,0,8869,0,0,0.9111,0.0001,0.0356,0.0,0.0532,0.0,157835,0.9468,1,0.9623,0.0001,0.0376,0.85,0.668,0.4728,6.7235,11.933096197908299,177.938924976989,0
S2A_22WDD_20170304_0_L1C,20170304T154123,0,1181,0,100448,8869,0,4820,0.0,0.0071,0.0,0.6026,0.0532,0.0,62207,0.3732,1,0.0,0.019,0.0,,0.4317,,79.5127,13.097454908591104,180.628762272736,0
S2A_22WDD_20170307_0_L1C,20170307T155106,14729,138600,4333,14,8869,0,0,0.0884,0.8314,0.026,0.0001,0.0532,0.0,157821,0.9467,1,0.0933,0.8782,0.0275,0.7326,0.6118,0.4269,53.8178,14.232778078199601,183.371154671925,0
S2A_22WDD_20170308_0_L1C,20170308T152044,146733,333,3553,0,8869,7019,0,0.8802,0.002,0.0213,0.0,0.0532,0.0421,150816,0.9047,1,0.9729,0.0022,0.0236,0.7503,0.6857,0.4272,65.542,14.5957603524852,175.735752057112,0
S2A_22WDD_20170311_0_L1C,20170311T153027,154710,4,3120,0,8869,0,0,0.9281,0.0,0.0187,0.0,0.0532,0.0,157835,0.9468,1,0.9802,0.0,0.0198,0.8719,0.6916,0.4903,6.8265,15.818703409440303,178.49300222307,0
S2A_22WDD_20170317_0_L1C,20170317T154952,502,155072,2261,0,8869,0,0,0.003,0.9302,0.0136,0.0,0.0532,0.0,157835,0.9468,1,0.0032,0.9825,0.0143,0.7349,0.64,0.4154,45.4873,18.149965262241196,184.15504977354,0
S2A_21WXU_20170327_0_L1C,20170327T154859,177051,11,1101,0,8672,0,0,0.9476,0.0001,0.0059,0.0,0.0464,0.0,178163,0.9536,1,0.9938,0.0001,0.0062,0.8006,0.6657,0.4284,86.7758,22.1281804378482,184.459090174287,0
S2A_22WDD_20170328_0_L1C,20170328T152143,145088,1,877,54,8869,11614,0,0.8703,0.0,0.0053,0.0003,0.0532,0.0697,146167,0.8768,1,0.9926,0.0,0.006,0.8352,0.6975,0.442,17.212,22.497244648193103,177.085178431917,0
S2A_22WDD_20170331_0_L1C,20170331T153159,5461,124495,0,28160,8869,0,281,0.0328,0.7468,0.0,0.1689,0.0532,0.0,129956,0.7796,1,0.042,0.958,0.0,0.7114,0.6647,,48.3951,23.687721099038,180.02881758,0
S2A_22WDD_20170403_0_L1C,20170403T153902,18748,14848,47,127859,8869,0,3785,0.1125,0.0891,0.0003,0.767,0.0532,0.0,33761,0.2025,0,0.5553,0.4398,0.0014,0.76,0.6141,0.2463,82.6329,24.819584193639997,183.009770302344,0
S2A_22WDD_20170406_0_L1C,20170406T154902,157311,0,524,0,8869,0,0,0.9437,0.0,0.0031,0.0,0.0532,0.0,157835,0.9468,1,0.9967,0.0,0.0033,0.8272,,0.4515,17.6293,25.889477968767906,186.024742923021,0
S2A_22WDD_20170407_0_L1C,20170407T151907,147276,0,355,72,8869,9858,0,0.8835,0.0,0.0021,0.0004,0.0532,0.0591,147905,0.8872,1,0.9957,0.0,0.0024,0.8556,,0.4568,47.8533,26.339848639773003,177.835552245982,0
S2A_22WDD_20170410_0_L1C,20170410T152905,157553,0,282,0,8869,0,0,0.9451,0.0,0.0017,0.0,0.0532,0.0,157835,0.9468,1,0.9982,0.0,0.0018,0.8784,,0.4431,66.3337,27.467317325972097,180.836530782519,0
S2A_22WDD_20170413_0_L1C,20170413T153905,111325,46282,227,0,8869,0,0,0.6678,0.2776,0.0014,0.0,0.0532,0.0,157835,0.9468,1,0.7053,0.2932,0.0014,0.7226,0.6872,0.4262,34.5509,28.527131386052503,183.866194086523,0
S2A_21WXU_20170417_0_L1C,20170417T151956,128291,26222,0,13925,8672,9498,0,0.6867,0.1403,0.0,0.0745,0.0464,0.0508,154740,0.8282,1,0.8291,0.1695,0.0,0.7607,0.684,,88.6717,30.0152267044979,177.867068774594,0
S2A_22WDD_20170420_0_L1C,20170420T152907,157804,31,0,0,8869,0,0,0.9466,0.0002,0.0,0.0,0.0532,0.0,157835,0.9468,1,0.9998,0.0002,0.0,0.7791,0.6741,,73.3865,31.0155276382663,181.54793983271,0
S2A_22WDD_20170430_0_L1C,20170430T152908,70305,10974,0,78435,8869,0,1879,0.4217,0.0658,0.0,0.4705,0.0532,0.0,81279,0.4876,1,0.865,0.135,0.0,0.799,0.659,,87.8226,34.2434936909008,182.07273799306,0
S2A_22WDD_20170503_0_L1C,20170503T153908,14806,5109,0,143962,8869,0,8496,0.0888,0.0306,0.0,0.8636,0.0532,0.0,22369,0.1342,0,0.6619,0.2284,0.0,0.729,0.6434,,73.0096,35.0853495517805,185.116490475709,0
S2A_22WDD_20170510_0_L1C,20170510T152952,155232,21,2565,0,8869,0,0,0.9312,0.0001,0.0154,0.0,0.0532,0.0,157835,0.9468,1,0.9835,0.0001,0.0163,0.9209,0.6203,0.4338,24.3572,37.0605356387017,182.355110238458,0
S2A_22WDD_20170513_0_L1C,20170513T153908,157403,145,248,59,8869,0,59,0.9442,0.0009,0.0015,0.0004,0.0532,0.0,157835,0.9468,1,0.9973,0.0009,0.0016,0.8211,0.6549,0.3018,26.9514,37.7587842503255,185.376200729893,0
S2A_22WDD_20170516_0_L1C,20170516T154907,156900,36,822,0,8869,0,0,0.9412,0.0002,0.0049,0.0,0.0532,0.0,157835,0.9468,1,0.9941,0.0002,0.0052,0.9108,0.6329,0.3029,14.6344,38.3670762924574,188.395545994448,0
S2A_22WDD_20170520_0_L1C,20170520T152909,70249,1534,67753,18005,8869,0,133,0.4214,0.0092,0.4064,0.108,0.0532,0.0,139963,0.8396,1,0.5019,0.011,0.4841,0.9447,0.5879,0.3665,28.2456,39.3839767095572,182.351904390144,0
S2A_22WDD_20170523_0_L1C,20170523T153908,105185,51,51231,0,8869,0,0,0.631,0.0003,0.3073,0.0,0.0532,0.0,157835,0.9468,1,0.6664,0.0003,0.3246,0.9051,0.6005,0.3143,58.9718,39.920048782554,185.334086766343,0
S2A_22WDD_20170526_0_L1C,20170526T155254,0,14,0,46553,8869,0,7121,0.0,0.0001,0.0,0.2793,0.0532,0.0,118403,0.7103,1,0.0,0.0001,0.0,,0.4149,,48.0566,40.3615308740047,188.30932853163,0
S2A_22WDD_20170527_0_L1C,20170527T151941,2307,157,3,47823,8869,6869,4364,0.0138,0.0009,0.0,0.2869,0.0532,0.0412,107507,0.6449,1,0.0215,0.0015,0.0,0.9995,0.5032,0.2083,86.1862,40.6849748966049,179.110219398848,0
S2A_22WDD_20170530_0_L1C,20170530T152909,105536,87,44585,103,8869,0,103,0.6331,0.0005,0.2675,0.0006,0.0532,0.0,157835,0.9468,1,0.6686,0.0006,0.2825,0.8103,0.5834,0.5184,17.1483,41.1399968347873,182.057802791815,0
S2A_22WDD_20170602_0_L1C,20170602T153908,27603,8,125750,0,8869,0,0,0.1656,0.0,0.7543,0.0,0.0532,0.0,157835,0.9468,1,0.1749,0.0001,0.7967,0.9321,0.6278,0.4641,9.2448,41.4972276668352,185.002211289125,0
